"owis","site"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02KR","http://www.bonifatius.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02KX","http://www.sovso-stjozef.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02LB","http://www.rvcdehef.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02LG","http://www.carmelcollegegouda.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02ME","http://www.tabor.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02MF","http://www.de-csv.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02MU","http://www.st-maartenscollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02NR","http://www.hotelschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02NT","http://www.designacademy.nl/"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02NY","http://www.sbo-deklaproos.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02NZ","http://www.ludgercollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/02PQ","http://www.intermetzo.nl"
